imdbID	title	year	rating	genre	value	revenue	original_language	popularity	vote_average	budget
tt1517260 	The Host 	2013	PG-13 	"Action, Adventure, Romance "	$26.63M 	63327201	en 	6.381707	6	44000000
tt2334873 	Blue Jasmine 	2013	PG-13 	Drama 	$33.41M 	99206215	en 	11.826292	7	18000000
tt2103267 	Adoration 	2013	R 	"Drama, Romance "	$0.32M 	318982	en 	10.083556	6.1	16000000
tt1815862 	After Earth 	2013	PG-13 	"Action, Adventure, Sci-Fi "	$60.52M 	243843127	en 	10.873951	5	130000000
tt2234155 	The Internship 	2013	PG-13 	Comedy 	$44.67M 	44000000	en 	0.390679	6.1	58000000
tt2209418 	Before Midnight 	2013	R 	"Drama, Romance "	$8.11M 	11176469	en 	7.880576	7.3	3000000
tt2226417 	Insidious: Chapter 2 	2013	PG-13 	"Horror, Mystery, Thriller "	$83.59M 	0	en 	11.402361	6.5	5000000
tt2140373 	Saving Mr. Banks 	2013	PG-13 	"Biography, Comedy, Drama "	$83.30M 	112544580	en 	13.798589	7.3	35000000
tt1951261 	The Hangover Part III 	2013	R 	"Comedy, Crime "	$112.20M 	362000072	en 	14.930842	6	103000000
tt1272878 	2 Guns 	2013	R 	"Action, Comedy, Crime "	$75.61M 	131940411	en 	14.065611	6.6	61000000
tt1854564 	Percy Jackson: Sea of Monsters 	2013	PG 	"Adventure, Family, Fantasy "	$68.56M 	174578751	en 	8.111241	5.9	90000000
tt1606378 	A Good Day to Die Hard 	2013	R 	"Action, Thriller "	$67.35M 	304654182	en 	12.293754	5.2	92000000
tt1682180 	Stoker 	2013	R 	"Drama, Thriller "	$1.70M 	12077441	en 	9.586804	6.5	12000000
tt0481499 	The Croods 	2013	PG 	"Animation, Adventure, Comedy "	$187.17M 	585178928	en 	8.70961	6.8	135000000
tt1204975 	Last Vegas 	2013	PG-13 	Comedy 	$63.91M 	134402450	en 	7.061429	6.4	28000000
