title	year	imdbID	rating	genre	value	revenue	original_language	popularity	vote_average	budget
The Big Bus 	1976 	tt0074205 	PG 	Comedy, Action 	$3.54M 	0 	en 	9.38709 	6.1 	0
Mother, Jugs & Speed 	1976 	tt0074923 	PG 	Comedy, Drama 	$20.00M 	0 	en 	3.891813 	5.8 	0
The Blue Bird 	1976 	tt0074225 	G 	Adventure, Drama, Family 	$0.89M 	887000 	en 	1.515312 	5.8 	12000000
Small Change 	1976 	tt0074152 	PG 	Comedy, Drama 	$0.04M 	0 	fr 	2.511346 	7.7 	0
Across the Great Divide 	1976 	tt0075629 	G 	Family, Western 	$18.81M 	0 	en 	0.568917 	5.1 	0
Die Marquise von O... 	1976 	tt0074870 	PG 	Drama, History 	$0.00M 	0 	de 	2.040434 	6.1 	0
La flûte à six schtroumpfs 	1976 	tt0074539 	G 	Animation, Comedy, Family 	$11.23M 	11234220 	fr 	2.035151 	6.3 	0
A Dirty Knight's Work 	1976 	tt0074409 	PG 	Action, Adventure, Comedy 	$0.00M 	0 	en 	0.08439 	9.0 	0
In Search of Noah's Ark 	1976 	tt0076182 	G 	Documentary, Family 	$55.73M 	0 	en 	0.0 	0.0 	0
Star Wars: Episode IV - A New Hope 	1977 	tt0076759 	PG 	Action, Adventure, Fantasy 	$322.74M 	775398007 	en 	25.26435 	8.1 	11000000
Eraserhead 	1977 	tt0074486 	Not Rated 	Horror 	$7.00M 	7000000 	en 	7.161807 	7.5 	10000
Close Encounters of the Third Kind 	1977 	tt0075860 	PG 	Drama, Sci-Fi 	$132.09M 	303788635 	en 	10.299608 	7.2 	20000000
Annie Hall 	1977 	tt0075686 	PG 	Comedy, Romance 	$39.20M 	38251425 	en 	14.888064 	7.8 	4000000
The Spy Who Loved Me 	1977 	tt0076752 	PG 	Action, Adventure, Thriller 	$46.80M 	185438673 	en 	9.681865 	6.6 	14000000
Smokey and the Bandit 	1977 	tt0076729 	PG 	Action, Comedy 	$126.74M 	126737428 	en 	5.74995 	6.8 	0
Saturday Night Fever 	1977 	tt0076666 	R 	Drama, Music 	$94.21M 	237113184 	en 	9.543579 	6.6 	3500000
A Bridge Too Far 	1977 	tt0075784 	PG 	Drama, History, War 	$50.80M 	50750000 	en 	7.979747 	7.0 	22000000
Slap Shot 	1977 	tt0076723 	R 	Comedy, Drama, Sport 	$28.00M 	28000000 	en 	9.693056 	7.1 	0
The Deep 	1977 	tt0075925 	PG 	Adventure, Mystery, Thriller 	$6.84M 	0 	en 	8.068869 	5.7 	0
Pete's Dragon 	1977 	tt0076538 	G 	Animation, Adventure, Comedy 	$40.10M 	0 	en 	6.996531 	6.4 	10000000
Exorcist II: The Heretic 	1977 	tt0076009 	R 	Horror 	$30.75M 	30749142 	en 	8.337167 	4.5 	14000000
The Rescuers 	1977 	tt0076618 	G 	Animation, Adventure, Comedy 	$71.22M 	71215869 	en 	7.811458 	6.7 	1200000
Orca 	1977 	tt0076504 	PG 	Adventure, Drama, Horror 	$14.72M 	14717854 	en 	3.904656 	5.5 	6000000
New York, New York 	1977 	tt0076451 	PG 	Drama, Music, Musical 	$13.80M 	0 	en 	4.305281 	6.1 	0
That Obscure Object of Desire 	1977 	tt0075824 	R 	Comedy, Drama 	$0.06M 	0 	fr 	6.81413 	7.5 	0
Looking for Mr. Goodbar 	1977 	tt0076327 	R 	Drama, Romance 	$16.90M 	22512655 	en 	4.411182 	6.8 	0
High Anxiety 	1977 	tt0076141 	PG 	Comedy 	$31.06M 	31063038 	en 	5.960958 	6.5 	3400000
Wizards 	1977 	tt0076929 	PG 	Animation, Adventure, Fantasy 	$9.00M 	9000000 	en 	3.248372 	6.4 	1200000
Airport '77 	1977 	tt0075648 	PG 	Action, Drama, Thriller 	$30.00M 	30000000 	en 	5.025918 	5.8 	6000000
The Island of Dr. Moreau 	1977 	tt0076210 	PG 	Adventure, Fantasy, Horror 	$8.00M 	0 	en 	5.72791 	5.4 	0
The Gauntlet 	1977 	tt0076070 	R 	Action, Crime, Thriller 	$35.40M 	26414658 	en 	5.980501 	6.7 	5500000
Black Sunday 	1977 	tt0075765 	R 	Action, Drama, Thriller 	$15.77M 	0 	en 	5.160899 	6.8 	0
The Goodbye Girl 	1977 	tt0076095 	PG 	Comedy, Drama, Romance 	$102.00M 	102000000 	en 	1.896209 	7.3 	0
The Turning Point 	1977 	tt0076843 	PG 	Drama, Romance 	$33.60M 	0 	en 	1.41529 	6.0 	0
Damnation Alley 	1977 	tt0075909 	PG 	Sci-Fi 	$8.72M 	8720000 	en 	1.864435 	5.0 	17000000
Kingdom of the Spiders 	1977 	tt0076271 	PG 	Horror, Sci-Fi 	$17.00M 	17000000 	en 	2.922251 	5.6 	500000
Oh, God! 	1977 	tt0076489 	PG 	Comedy, Fantasy 	$41.69M 	41687243 	en 	1.822779 	6.3 	0
The Other Side of Midnight 	1977 	tt0076507 	R 	Drama, Romance, Thriller 	$24.65M 	0 	en 	0.936047 	5.6 	0
Heroes 	1977 	tt0076138 	PG 	Comedy, Drama 	$33.50M 	0 	en 	0.578633 	6.3 	3200000
Bobby Deerfield 	1977 	tt0075774 	PG 	Drama, Romance 	$9.30M 	0 	en 	4.608701 	6.0 	0
Goliathon 	1977 	tt0076164 	PG-13 	Action, Adventure, Horror 	$0.02M 	0 	zh 	0.538266 	4.8 	0
Joseph Andrews 	1977 	tt0076234 	R 	Adventure, Comedy, Drama 	$0.84M 	0 	en 	0.450879 	4.0 	0
The Bad News Bears in Breaking Training 	1977 	tt0075718 	PG 	Comedy, Family, Sport 	$19.10M 	19104350 	en 	1.981598 	6.0 	0
The Devil, Probably 	1977 	tt0075938 	Not Rated 	Drama 	$0.03M 	0 	fr 	0.79844 	7.0 	0
March or Die 	1977 	tt0076175 	PG 	Drama, War, Adventure 	$1.00M 	0 	en 	2.71003 	6.2 	0
Semi-Tough 	1977 	tt0078227 	R 	Comedy, Romance, Sport 	$37.19M 	0 	en 	1.422187 	5.6 	0
Race for Your Life, Charlie Brown 	1977 	tt0076591 	G 	Animation, Adventure, Family 	$3.22M 	0 	en 	1.69666 	6.6 	0
Citizens Band 	1977 	tt0076123 	PG 	Comedy, Drama 	$0.82M 	0 	en 	1.756917 	4.7 	0
For the Love of Benji 	1977 	tt0076044 	G 	Adventure, Comedy, Drama 	$17.73M 	0 	en 	0.972625 	5.6 	0
Halloween 	1978 	tt0077651 	R 	Horror, Thriller 	$47.00M 	70000000 	en 	11.865667 	7.4 	325000
Grease 	1978 	tt0077631 	PG-13 	Musical, Romance 	$188.76M 	181813770 	en 	10.241603 	7.2 	6000000
The Deer Hunter 	1978 	tt0077416 	R 	Drama, War 	$48.98M 	50000000 	en 	7.458044 	7.8 	15000000
Pretty Baby 	1978 	tt0078111 	R 	Drama 	$5.79M 	0 	en 	5.194581 	6.2 	0
Animal House 	1978 	tt0077975 	R 	Comedy 	$141.60M 	141000000 	en 	7.662539 	7.0 	2700000
Superman 	1978 	tt0078346 	PG 	Action, Adventure, Drama 	$134.22M 	300218018 	en 	10.403854 	6.9 	55000000
Dawn of the Dead 	1978 	tt0077402 	Unrated 	Action, Adventure, Horror 	$5.10M 	55000000 	en 	14.863575 	7.4 	650000
Midnight Express 	1978 	tt0077928 	R 	Biography, Crime, Drama 	$35.00M 	35000000 	en 	5.180102 	7.6 	2300000
Invasion of the Body Snatchers 	1978 	tt0077745 	PG 	Horror, Sci-Fi 	$24.95M 	24046533 	en 	6.867824 	7.2 	3500000
Jaws 2 	1978 	tt0077766 	PG 	Adventure, Drama, Horror 	$102.92M 	187884007 	en 	6.313784 	5.9 	20000000
The Lord of the Rings 	1978 	tt0077869 	PG 	Animation, Adventure, Fantasy 	$0.92M 	30471420 	en 	6.318766 	6.2 	4000000
The Wiz 	1978 	tt0078504 	G 	Adventure, Family, Fantasy 	$21.05M 	21049053 	en 	3.531614 	5.8 	24000000
Convoy 	1978 	tt0077369 	PG 	Action, Drama 	$45.00M 	22765081 	en 	3.76037 	6.1 	12000000
Up in Smoke 	1978 	tt0078446 	R 	Comedy, Music 	$44.36M 	41590893 	en 	6.392724 	6.7 	0
Every Which Way But Loose 	1978 	tt0077523 	PG 	Action, Comedy 	$106.00M 	85 	en 	7.79328 	6.2 	5
Coming Home 	1978 	tt0077362 	R 	Drama, Romance, War 	$32.65M 	0 	en 	2.760186 	6.9 	3000000
The Driver 	1978 	tt0077474 	R 	Action, Crime, Thriller 	$4.91M 	0 	en 	4.411422 	7.1 	0
Damien: Omen II 	1978 	tt0077394 	R 	Horror 	$3.88M 	26518355 	en 	11.845007 	6.1 	6800000
The Boys from Brazil 	1978 	tt0077269 	R 	Drama, Thriller 	$19.00M 	0 	en 	4.806477 	6.6 	0
Piranha 	1978 	tt0078087 	R 	Comedy, Horror, Sci-Fi 	$6.00M 	0 	en 	13.479952 	5.7 	660000
The Great Train Robbery 	1978 	tt0079240 	PG 	Adventure, Crime, Drama 	$13.03M 	0 	en 	4.974407 	6.6 	6000000
Heaven Can Wait 	1978 	tt0077663 	PG 	Comedy, Fantasy, Romance 	$81.64M 	0 	en 	6.199451 	6.4 	0
Sgt. Pepper's Lonely Hearts Club Band 	1978 	tt0078239 	PG 	Adventure, Comedy, Fantasy 	$12.90M 	0 	en 	0.767767 	4.5 	18000000
Foul Play 	1978 	tt0077578 	PG 	Comedy, Mystery, Thriller 	$45.00M 	0 	en 	4.802956 	6.3 	0
Eyes of Laura Mars 	1978 	tt0077530 	R 	Mystery, Thriller 	$20.00M 	20000000 	en 	4.076838 	5.7 	7000000
Hooper 	1978 	tt0077696 	PG 	Action, Comedy 	$78.00M 	78000000 	en 	1.957611 	6.1 	0
Martin 	1978 	tt0077914 	R 	Drama, Horror 	$0.10M 	0 	en 	2.529329 	7.0 	0
The Buddy Holly Story 	1978 	tt0077280 	PG 	Biography, Drama, Music 	$14.36M 	14363400 	en 	2.686474 	7.5 	1200000
Straight Time 	1978 	tt0078326 	R 	Crime, Drama 	$9.90M 	0 	en 	2.17861 	6.8 	0
F.I.S.T. 	1978 	tt0077531 	PG 	Crime, Drama, Thriller 	$20.39M 	11 	en 	2.709439 	6.5 	11
The Last Waltz 	1978 	tt0077838 	PG 	Documentary, Music 	$0.32M 	321952 	en 	2.68991 	7.9 	0
Same Time, Next Year 	1978 	tt0078199 	PG 	Comedy, Drama, Romance 	$19.70M 	19 	en 	0.883922 	6.5 	118
Corvette Summer 	1978 	tt0077372 	PG 	Adventure, Comedy 	$15.50M 	15500000 	en 	3.670738 	5.4 	0
La Cage aux Folles 	1978 	tt0077288 	R 	Comedy 	$20.42M 	20424259 	fr 	2.507973 	6.9 	0
King of the Gypsies 	1978 	tt0077807 	R 	Drama 	$7.33M 	0 	en 	2.593645 	6.0 	0
An Unmarried Woman 	1978 	tt0078444 	R 	Comedy, Drama, Romance 	$24.00M 	24000000 	en 	0.881315 	6.1 	2515000
The Swarm 	1978 	tt0078350 	PG 	Horror, Thriller 	$10.00M 	0 	en 	4.046224 	5.3 	0
Thank God It's Friday 	1978 	tt0078382 	PG 	Comedy, Music 	$7.30M 	0 	en 	0.758755 	4.6 	0
The Bad News Bears Go to Japan 	1978 	tt0077199 	PG 	Comedy, Family, Sport 	$14.00M 	0 	en 	0.725574 	5.5 	0
Good Guys Wear Black 	1978 	tt0079227 	PG 	Action 	$18.33M 	18300000 	en 	1.042419 	5.7 	1000000
The Betsy 	1978 	tt0077228 	R 	Drama 	$17.69M 	0 	en 	0.542237 	4.2 	0
Moment by Moment 	1978 	tt0077942 	R 	Drama, Romance 	$10.96M 	0 	en 	0.647294 	1.3 	0
Fedora 	1978 	tt0077539 	PG 	Drama, Romance 	$2.20M 	0 	en 	1.914408 	6.1 	6727000
Boarding School 	1978 	tt0076306 	R 	Comedy 	$0.31M 	0 	de 	1.260924 	4.5 	0
The Brink's Job 	1978 	tt0077275 	PG 	Comedy, Crime, Drama 	$9.40M 	0 	en 	6.775862 	6.4 	0
The One and Only 	1978 	tt0078034 	PG 	Comedy, Romance 	$16.93M 	16928137 	en 	0.2594 	5.5 	0
Somebody Killed Her Husband 	1978 	tt0078294 	PG 	Comedy, Crime, Mystery 	$6.10M 	0 	en 	0.717189 	7.5 	0
Brass Target 	1978 	tt0077272 	PG 	Action, Drama, Mystery 	$5.01M 	0 	en 	0.605462 	6.3 	0
House Calls 	1978 	tt0077699 	PG 	Comedy, Drama, Romance 	$28.46M 	28460702 	en 	0.678934 	7.3 	0
Caravans 	1978 	tt0077296 	PG 	Action, Adventure, History 	$1.00M 	0 	en 	0.08542 	5.8 	0
The Other Side of the Mountain: Part II 	1978 	tt0078044 	PG 	Biography, Drama, Romance 	$11.57M 	0 	en 	0.001586 	5.0 	0
Nest of Vipers 	1978 	tt0076628 	R 	Drama 	$0.03M 	0 	it 	1.035704 	5.0 	0
Hardware Wars 	1978 	tt0077658 	Not Rated 	Action, Comedy, Sci-Fi 	$0.50M 	0 	en 	0.583804 	6.3 	0
Slow Dancing in the Big City 	1978 	tt0078278 	PG 	Drama, Musical, Romance 	$1.58M 	0 	en 	0.004045 	0.0 	0
Beyond and Back 	1978 	tt0077229 	G 	Documentary 	$23.78M 	0 	en 	4e-06 	0.0 	0
Alien 	1979 	tt0078748 	R 	Horror, Sci-Fi 	$78.90M 	104931801 	en 	20.229876 	7.9 	11000000
Apocalypse Now 	1979 	tt0078788 	R 	Drama, War 	$83.47M 	89460381 	en 	14.486717 	8.0 	31500000
Caligula 	1979 	tt0080491 	Unrated 	Drama, History 	$23.44M 	23438120 	en 	11.560317 	5.3 	17500000
Mad Max 	1979 	tt0079501 	R 	Action, Adventure, Sci-Fi 	$8.75M 	100000000 	en 	11.941284 	6.6 	400000
The Warriors 	1979 	tt0080120 	R 	Action, Thriller 	$22.49M 	22490039 	en 	6.997049 	7.4 	4000000
Stalker 	1979 	tt0079944 	Not Rated 	Drama, Sci-Fi 	$0.23M 	0 	ru 	8.156305 	7.8 	0
The Electric Horseman 	1979 	tt0079100 	PG 	Comedy, Western, Drama 	$61.80M 	61801971 	en 	5.75634 	5.4 	0
Phantasm 	1979 	tt0079714 	R 	Horror, Sci-Fi 	$11.99M 	11988469 	en 	6.309088 	6.5 	300000
The Amityville Horror 	1979 	tt0078767 	R 	Horror 	$86.43M 	86432000 	en 	10.798903 	6.1 	0
Life of Brian 	1979 	tt0079470 	R 	Comedy 	$20.05M 	20045115 	en 	7.718604 	7.7 	4000000
Kramer vs. Kramer 	1979 	tt0079417 	PG 	Drama 	$106.26M 	106260000 	en 	6.121584 	7.4 	8000000
Star Trek: The Motion Picture 	1979 	tt0079945 	G 	Adventure, Mystery, Sci-Fi 	$82.26M 	139000000 	en 	12.09394 	6.2 	35000000
Rocky II 	1979 	tt0079817 	PG 	Drama, Sport 	$6.39M 	200182160 	en 	9.277493 	6.9 	7000000
Manhattan 	1979 	tt0079522 	R 	Comedy, Drama, Romance 	$45.70M 	39946780 	en 	8.429007 	7.8 	0
Moonraker 	1979 	tt0079574 	PG 	Action, Adventure, Sci-Fi 	$70.31M 	210308099 	en 	12.295563 	5.9 	34000000
Escape from Alcatraz 	1979 	tt0079116 	PG 	Biography, Crime, Drama 	$43.00M 	43000000 	en 	9.21644 	7.3 	8000000
10 	1979 	tt0078721 	R 	Comedy, Romance 	$74.87M 	74865517 	en 	8.278099 	5.4 	0
Being There 	1979 	tt0078841 	PG 	Comedy, Drama 	$30.18M 	30177511 	en 	12.844651 	7.7 	0
The Jerk 	1979 	tt0079367 	R 	Comedy 	$73.69M 	73961419 	en 	5.898812 	7.0 	0
Hair 	1979 	tt0079261 	PG 	Comedy, Drama, Musical 	$15.28M 	0 	en 	5.189877 	7.3 	11000000
Breaking Away 	1979 	tt0078902 	PG 	Comedy, Drama, Romance 	$16.42M 	20000000 	en 	3.909517 	7.4 	2300000
Norma Rae 	1979 	tt0079638 	PG 	Drama 	$22.23M 	22228000 	en 	3.9709 	6.9 	0
1941 	1979 	tt0078723 	PG 	Action, Comedy, War 	$31.76M 	31755742 	en 	8.284467 	5.6 	35000000
Meatballs 	1979 	tt0079540 	PG 	Comedy 	$43.05M 	0 	en 	4.706032 	5.9 	0
More American Graffiti 	1979 	tt0079576 	PG 	Comedy, Drama, War 	$15.01M 	15014674 	en 	1.611364 	4.8 	2500000
Dracula 	1979 	tt0079073 	R 	Horror, Romance 	$20.16M 	0 	en 	2.341124 	6.4 	0
When a Stranger Calls 	1979 	tt0080130 	R 	Crime, Drama, Horror 	$21.41M 	0 	en 	6.642965 	6.3 	0
All That Jazz 	1979 	tt0078754 	R 	Comedy, Drama, Music 	$37.82M 	37823676 	en 	6.010453 	7.2 	0
The Wanderers 	1979 	tt0080117 	R 	Drama 	$0.01M 	23000000 	en 	3.283711 	7.2 	0
The China Syndrome 	1979 	tt0078966 	PG 	Drama, Thriller 	$51.72M 	51718367 	en 	5.123776 	7.0 	5900000
The Muppet Movie 	1979 	tt0079588 	G 	Adventure, Comedy, Family 	$76.66M 	76657000 	en 	7.682825 	7.0 	0
The Frisco Kid 	1979 	tt0079180 	PG 	Comedy, Drama, Western 	$9.35M 	9346177 	en 	6.953073 	6.0 	9200000
Going in Style 	1979 	tt0079219 	PG 	Comedy, Crime, Drama 	$26.87M 	0 	en 	1.30127 	6.9 	0
The Rose 	1979 	tt0079826 	R 	Drama, Music, Romance 	$29.20M 	29174648 	en 	2.320594 	6.8 	9250000
Roller Boogie 	1979 	tt0079822 	PG 	Drama, Music 	$13.25M 	0 	en 	0.732997 	5.0 	0
The Champ 	1979 	tt0078950 	PG 	Drama, Sport 	$30.44M 	0 	en 	5.956474 	6.7 	0
Prophecy 	1979 	tt0079758 	PG 	Sci-Fi, Horror 	$18.39M 	54000000 	en 	2.404801 	5.4 	12000000
Hanover Street 	1979 	tt0079268 	PG 	Action, Adventure, Drama 	$3.00M 	3000000 	en 	1.501486 	5.4 	0
Love at First Bite 	1979 	tt0079489 	PG 	Comedy 	$43.89M 	43885000 	en 	1.999646 	5.8 	0
The Concorde... Airport '79 	1979 	tt0078740 	PG 	Action, Drama, Thriller 	$13.00M 	13015688 	en 	2.870584 	4.7 	14000000
The In-Laws 	1979 	tt0079336 	PG 	Adventure, Comedy, Crime 	$38.20M 	38200000 	en 	3.173188 	6.7 	9000000
Buck Rogers in the 25th Century 	1979 	tt0077278 	PG 	Action, Adventure, Sci-Fi 	$21.67M 	0 	en 	0.817666 	3.7 	0
The Onion Field 	1979 	tt0079668 	R 	Crime, Drama 	$9.89M 	0 	en 	7.106206 	6.3 	0
North Dallas Forty 	1979 	tt0079640 	R 	Comedy, Drama, Sport 	$26.08M 	26079312 	en 	3.069206 	6.2 	0
Wanda Nevada 	1979 	tt0080116 	PG 	Comedy, Mystery, Romance 	$2.41M 	2411145 	en 	1.46294 	6.5 	0
Winter Kills 	1979 	tt0080139 	R 	Comedy, Drama, Mystery 	$1.08M 	0 	en 	0.311601 	6.1 	0
A Force of One 	1979 	tt0079168 	PG 	Action, Crime, Drama 	$20.17M 	20200000 	en 	1.42777 	3.6 	0
Last Embrace 	1979 	tt0079437 	R 	Mystery, Romance, Thriller 	$1.54M 	0 	en 	1.708433 	5.8 	0
The Main Event 	1979 	tt0079510 	PG 	Comedy, Romance, Sport 	$42.80M 	0 	en 	1.664092 	4.8 	0
Starting Over 	1979 	tt0079948 	R 	Comedy, Romance 	$41.64M 	0 	en 	0.848287 	6.9 	0
Cuba 	1979 	tt0079013 	R 	Adventure, Romance, Thriller 	$0.53M 	0 	en 	0.661025 	5.2 	0
The Apple Dumpling Gang Rides Again 	1979 	tt0078790 	G 	Family, Comedy, Western 	$20.93M 	0 	en 	1.013028 	6.3 	0
Return of the Secaucus Seven 	1979 	tt0081420 	R 	Drama 	$2.00M 	0 	en 	0.483873 	5.4 	0
Richard Pryor: Live in Concert 	1979 	tt0079807 	Not Rated 	Documentary, Comedy 	$15.80M 	0 	en 	1.961006 	7.4 	0
Butch and Sundance: The Early Days 	1979 	tt0078919 	PG 	Comedy, Western 	$5.14M 	0 	en 	1.462529 	4.6 	0
The Prisoner of Zenda 	1979 	tt0079753 	PG 	Adventure, Comedy 	$2.43M 	0 	en 	1.088004 	5.7 	0
Americathon 	1979 	tt0078766 	PG 	Comedy 	$6.17M 	0 	en 	0.227531 	2.3 	0
Rich Kids 	1979 	tt0079806 	PG 	Comedy, Drama 	$0.05M 	0 	en 	0.773974 	6.1 	0
Beyond the Reef 	1979 	tt0082070 	PG 	Adventure, Romance 	$0.55M 	0 	en 	0.057352 	4.0 	0
Lost and Found 	1979 	tt0079486 	PG 	Comedy 	$3.22M 	0 	en 	0.842583 	5.0 	0
Voices 	1979 	tt0080103 	PG 	Drama, Music, Romance 	$0.03M 	0 	en 	0.723134 	0.0 	0
The Bermuda Triangle 	1979 	tt0077224 	G 	Documentary, Mystery, Sci-Fi 	$22.17M 	0 	en 	0.000756 	0.0 	0
The Late Great Planet Earth 	1979 	tt0079445 	PG 	Documentary, Drama 	$19.50M 	0 	en 	0.016713 	1.0 	0
In Search of Historic Jesus 	1979 	tt0080919 	G 	Documentary, Drama 	$22.44M 	0 	en 	1e-06 	0.0 	0
The Shining 	1980 	tt0081505 	R 	Drama, Horror 	$44.02M 	44017374 	en 	18.192754 	8.1 	19000000
Star Wars: Episode V - The Empire Strikes Back 	1980 	tt0080684 	PG 	Action, Adventure, Fantasy 	$290.48M 	538400000 	en 	15.729174 	8.2 	18000000
The Blue Lagoon 	1980 	tt0080453 	R 	Adventure, Drama, Romance 	$58.85M 	58853106 	en 	9.303647 	5.8 	4500000
Urban Cowboy 	1980 	tt0081696 	PG 	Drama, Romance, Western 	$53.30M 	0 	en 	5.119019 	5.7 	0
Friday the 13th 	1980 	tt0080761 	R 	Horror, Mystery, Thriller 	$39.75M 	59754601 	en 	11.814455 	6.4 	550000
Airplane! 	1980 	tt0080339 	PG 	Comedy 	$83.40M 	83453539 	en 	9.012671 	7.1 	3500000
The Blues Brothers 	1980 	tt0080455 	R 	Action, Comedy, Crime 	$57.23M 	115229890 	en 	10.611369 	7.5 	27000000
Raging Bull 	1980 	tt0081398 	R 	Biography, Drama, Sport 	$23.38M 	23000000 	en 	7.965465 	7.7 	18000000
Caddyshack 	1980 	tt0080487 	R 	Comedy, Sport 	$39.85M 	39846344 	en 	8.946786 	6.6 	6000000
The Final Countdown 	1980 	tt0080736 	PG 	Action, Sci-Fi 	$16.65M 	16647800 	en 	9.033943 	6.1 	0
The Fog 	1980 	tt0080749 	R 	Horror, Thriller 	$21.38M 	21378361 	en 	6.443743 	6.4 	1000000
Nine to Five 	1980 	tt0080319 	PG 	Comedy 	$103.29M 	0 	en 	15.768183 	6.7 	0
Popeye 	1980 	tt0081353 	PG 	Adventure, Comedy, Family 	$49.82M 	0 	en 	7.398692 	5.3 	20000000
Ordinary People 	1980 	tt0081283 	R 	Drama 	$54.80M 	0 	en 	8.979524 	7.4 	6000000
Heaven's Gate 	1980 	tt0080855 	R 	Adventure, Drama, Western 	$3.48M 	3484331 	en 	4.616135 	6.5 	44000000
The Watcher in the Woods 	1980 	tt0081738 	PG 	Family, Horror, Mystery 	$5.00M 	5000000 	en 	7.188029 	6.4 	0
Private Benjamin 	1980 	tt0081375 	R 	Comedy, War 	$69.85M 	0 	en 	10.04405 	6.0 	0
Altered States 	1980 	tt0080360 	R 	Horror, Sci-Fi, Thriller 	$19.85M 	19853892 	en 	9.614774 	6.7 	15000000
The Gods Must Be Crazy 	1980 	tt0080801 	PG 	Comedy 	$30.03M 	60000000 	en 	10.607696 	7.1 	5000000
The Long Riders 	1980 	tt0081071 	R 	Western 	$23.00M 	15795189 	en 	3.623765 	6.5 	10000000
Dressed to Kill 	1980 	tt0080661 	R 	Mystery, Thriller 	$31.90M 	31899000 	en 	6.796676 	6.8 	6500000
Brubaker 	1980 	tt0080474 	R 	Crime, Drama 	$37.12M 	37121708 	en 	13.794992 	7.1 	0
Prom Night 	1980 	tt0081383 	R 	Horror, Thriller 	$14.80M 	14796236 	en 	3.934755 	6.0 	1000000
Superman II 	1980 	tt0081573 	PG 	Action, Adventure, Sci-Fi 	$108.19M 	190458706 	en 	7.425903 	6.5 	54000000
Somewhere in Time 	1980 	tt0081534 	PG 	Drama, Fantasy, Romance 	$9.71M 	0 	en 	5.582905 	7.1 	5100000
Herbie Goes Bananas 	1980 	tt0080861 	G 	Adventure, Comedy, Family 	$18.00M 	0 	en 	4.718452 	5.2 	0
Cruising 	1980 	tt0080569 	R 	Crime, Drama, Mystery 	$19.80M 	0 	en 	10.548373 	6.1 	0
Fame 	1980 	tt0080716 	R 	Drama, Music, Musical 	$0.00M 	21202829 	en 	5.881117 	6.0 	0
